HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
0,336,287,23.0,4084.0,23,43,107,140,280,3317,4084
1,5158,111,0.0,8854.0,31,31,4739,5700,6524,8517,8712
2,700,2763,79.0,40553.0,82,90,145,284,405,19505,40553
3,1308,288,1001.0,2917.0,1001,1061,1221,1287,1368,1737,2917
4,1961,4971,156.0,50300.0,200,455,638,712,1009,25458,31499
5,63930,788,4528.0,374533.0,4528,16989,32640,49585,81593,250343,374533
6,107,288,1.0,2720.0,2,2,5,6,10,2247,2720
7,106,884,31.0,531.0,31,31,62,96,139,380,531
8,323,6524,188.0,21460.0,190,210,236,252,280,3192,9012
9,92649,457,0.0,600210.0,62,1354,23884,54175,98037,600048,600210
10,188,564,18.0,1416.0,31,46,105,147,204,978,1416
11,10876,562,15.0,254953.0,275,484,1669,4849,12208,102906,254953
12,2853,229,1955.0,11178.0,1955,1983,2415,2726,3199,4585,11178
13,736,914,469.0,4942.0,528,533,601,682,788,1642,3293
14,0,1440,0.0,46.0,0,0,0,0,0,15,46
15,281,723,93.0,6558.0,109,124,171,205,281,969,6558
16,3,1440,0.0,93.0,0,0,0,0,11,16,93
17,96,360,0.0,1006.0,0,0,1,1,8,984,1006
18,37,29714,7.0,3578.0,15,27,32,35,40,73,296
19,8,817,0.0,2052.0,0,0,0,0,18,19,2052
20,2858,96,30.0,19045.0,30,30,155,2830,3994,19045,19045
21,2311,1440,576.0,14921.0,576,586,680,1370,3217,11911,14921
22,703,1440,453.0,17971.0,453,499,578,640,718,2531,17971
23,1485,720,1200.0,4558.0,1200,1218,1271,1308,1407,3258,4558
24,118,4303,1.0,1838.0,1,1,1,1,5,941,1471
25,3723,1080,823.0,21375.0,823,981,1412,3090,5291,14425,21375
26,124,480,46.0,530.0,46,62,93,109,139,366,530
27,999,1440,78.0,20857.0,78,78,93,110,1002,7678,20857
28,5232,689,2286.0,26360.0,2346,3490,3930,4385,5713,14636,20531
29,202,109,130.0,938.0,137,137,146,149,206,537,770
30,36943,288,1171.0,45415.0,1171,2396,35548,37075,38959,44505,45415
31,0,288,0.0,17.0,0,0,0,0,0,15,17
32,4219,88,2125.0,6037.0,3623,3623,3783,4035,4454,4975,4975
33,26018,1439,2406.0,115935.0,2406,2747,9727,27795,36419,77440,103698
34,15,1423,4.0,1217.0,4,4,7,9,12,71,1217
35,8568,24,270.0,14622.0,304,304,7704,10093,10302,14622,14622
36,11827,1437,5979.0,102566.0,5979,6610,9872,10803,12012,30119,102566
37,31,16102,12.0,6113.0,13,15,23,29,35,73,714
38,1612,16,780.0,7319.0,780,780,827,915,1079,7319,7319
39,1062,691,171.0,62474.0,171,233,445,582,789,3475,62474
40,302,288,109.0,3135.0,109,122,156,203,328,1261,3135
41,0,1440,0.0,15.0,0,0,0,0,0,0,15
42,21048,1440,20689.0,29022.0,20689,20699,20757,20940,21057,22124,29022
43,0,288,0.0,62.0,0,0,0,0,0,0,62
44,199,288,13.0,2729.0,13,17,26,32,60,1317,2729
45,220,288,5.0,1475.0,5,10,20,28,65,981,1475
46,137,360,1.0,1425.0,1,1,1,2,12,1212,1425
47,8,1440,0.0,828.0,0,0,0,0,0,328,828
48,114,1440,31.0,19101.0,31,62,82,97,109,203,19101
49,10,2520,0.0,247.0,0,0,5,9,14,46,147
50,79,288,0.0,4111.0,0,0,15,29,46,1170,4111
51,116,288,1.0,1504.0,1,1,2,7,16,1016,1504
52,331,279,20.0,2647.0,40,46,95,206,406,1791,2647
53,693,288,72.0,6553.0,72,74,121,152,1001,3895,6553
54,19527,1884,89.0,180060.0,140,328,4378,15291,28746,87026,180060
55,714,480,187.0,3235.0,187,212,343,410,500,2773,3235
56,116,480,43.0,363.0,43,46,93,109,140,245,363
57,237,203,46.0,2093.0,46,62,111,156,203,1752,2093
58,2207,3,1731.0,3032.0,1731,1731,1731,1860,3032,3032,3032
59,21,43,1.0,307.0,2,2,6,16,20,307,307
60,5425,287,1140.0,13121.0,1140,1222,3186,5229,7382,10318,13121
61,2849,288,2462.0,5933.0,2462,2532,2694,2813,2894,3963,5933
62,20,350,0.0,174.0,0,0,11,17,29,140,161
63,22,20,0.0,109.0,1,1,7,9,26,62,62
64,33,288,8.0,364.0,8,10,20,27,29,273,364
65,2,5231,0.0,1568.0,0,0,0,0,0,16,528
66,162,44,112.0,866.0,117,117,123,126,142,495,495
67,950,8516,4.0,12817.0,5,64,209,511,1156,4591,9998
68,2974,1669,2.0,20168.0,2,2,7,8,9609,11343,19199
69,167,1440,0.0,1939.0,0,0,1,1,1,1289,1939
70,250,672,78.0,33165.0,78,90,109,124,201,1672,33165
71,53,288,0.0,1093.0,0,0,16,31,36,484,1093
72,460,480,299.0,20159.0,299,328,374,390,422,1188,20159
73,2,288,0.0,49.0,0,0,0,0,0,46,49
74,478,3298,10.0,30798.0,22,22,45,180,351,7650,30302
75,9,4638,0.0,1875.0,0,0,4,6,11,45,168
76,195,1435,27.0,4971.0,27,42,72,88,108,3077,4971
77,348,989,188.0,972.0,188,234,329,344,361,440,972
78,786,1445,10.0,21317.0,10,15,30,31,914,7838,21317
79,97,1256,10.0,6371.0,11,12,24,30,45,2029,4829
80,176,242,20.0,812.0,22,22,35,50,314,698,732
81,32714,289,26922.0,38896.0,26922,27815,30704,32595,34786,37988,38896
82,11513,300,60.0,63926.0,60,3938,7459,9264,12298,39235,51020
83,298329,6,170763.0,394616.0,170763,170763,181914,316355,384611,394616,394616
84,7482,288,31.0,88818.0,41,41,98,480,5111,88796,88796
85,507,549,309.0,1859.0,309,324,385,482,608,1041,1859
86,389,480,77.0,8537.0,77,86,131,144,269,4380,8537
87,93,1440,0.0,1504.0,0,0,0,1,1,1008,1504
88,603,4382,37.0,18045.0,53,133,317,422,640,3398,17201
89,10030,2718,9989.0,10918.0,9994,10000,10011,10018,10029,10369,10918
90,638,1799,498.0,26655.0,498,529,573,590,622,1317,26655
91,44,1440,3.0,4836.0,3,3,9,31,41,220,4836
92,939,1440,757.0,2902.0,757,797,863,902,965,1430,2902
93,135,480,46.0,383.0,46,62,106,125,156,320,383
94,462,2526,0.0,36933.0,0,72,286,362,451,2423,18528
95,650,3755,46.0,23559.0,48,52,176,353,702,6704,20186
96,42,562,0.0,343.0,0,0,14,18,62,193,343
97,180,55,83.0,936.0,83,83,109,118,164,936,936
98,2845,217,20.0,48811.0,203,437,496,593,2765,23467,48811
99,170,289,1.0,909.0,1,1,2,3,6,906,909
100,47238,40,62.0,600291.0,62,62,6307,27782,48684,600291,600291
101,8669,719,6114.0,22501.0,6114,7992,8348,8571,8866,9890,22501
102,542,66,10.0,9503.0,28,28,55,98,185,9299,9299
103,78,7,18.0,174.0,19,19,29,36,140,174,174
104,183,17130,0.0,7212.0,8,23,85,140,251,669,2180
105,299,604,190.0,2848.0,190,203,240,268,304,999,2848
106,128,480,62.0,312.0,62,78,109,125,140,245,312
107,4835,2,4655.0,5015.0,4655,4655,4655,4655,5015,5015,5015
108,15075,9,7584.0,32458.0,7584,7584,9516,12533,15570,32458,32458
109,2476,940,16.0,30509.0,25,25,155,269,1530,30487,30487
110,117,288,0.0,1125.0,0,1,1,2,9,1001,1125
111,105,36,5.0,908.0,5,5,8,22,42,908,908
112,170,576,43.0,918.0,46,62,125,156,189,607,918
113,21,126,1.0,386.0,5,5,14,17,19,72,72
114,35,288,14.0,346.0,14,14,21,27,33,144,346
115,119,480,1.0,1410.0,1,1,1,1,1,1019,1410
116,11310,287,1018.0,30871.0,1018,1156,11063,11525,12299,19352,30871
117,185,154,62.0,3000.0,62,62,109,137,154,2937,3000
118,73,360,31.0,236.0,31,36,62,76,78,140,236
119,2251,204,63.0,20883.0,80,104,1260,1947,2518,10675,10761
120,134,8784,32.0,39531.0,37,39,53,71,126,861,39384
121,438,288,76.0,3016.0,76,88,127,162,754,2107,3016
122,522,287,66.0,3598.0,66,70,102,129,797,3131,3598
123,18025,72,119.0,108155.0,150,150,208,17208,22161,108155,108155
124,13,360,9.0,44.0,9,9,11,12,14,25,44
125,18,3864,0.0,168.0,0,0,15,17,20,53,126
126,51,5765,0.0,33250.0,0,2,11,17,31,377,33250
127,1174,288,343.0,19786.0,343,390,582,773,990,5853,19786
128,50,149,15.0,234.0,28,30,31,46,48,234,234
129,83296,45,65623.0,122701.0,65623,65623,72710,81910,89431,122701,122701
130,502,287,271.0,2237.0,271,281,327,360,458,1609,2237
131,3,288,0.0,346.0,0,0,0,0,0,48,346
132,136,255,62.0,2078.0,62,62,109,124,140,328,2078
133,0,2880,0.0,218.0,0,0,0,0,0,15,218
134,45,1440,10.0,2568.0,10,12,15,15,19,1707,2568
135,816,234,0.0,6266.0,15,15,119,250,1554,2218,5783
136,18,62,0.0,109.0,0,0,11,15,15,109,109
137,897,4,5.0,3554.0,8,8,8,8,19,3554,3554
138,876,1440,749.0,7576.0,749,760,798,828,856,1778,7576
139,226,576,15.0,2325.0,54,56,78,223,358,577,577
140,6411,4321,624.0,29907.0,625,810,3878,5422,8188,15554,29907
141,389,413,129.0,5524.0,129,139,206,259,346,4267,5524
142,275,360,60.0,21255.0,60,62,78,78,93,637,21255
143,172,480,31.0,9809.0,31,46,78,97,119,524,9809
144,8252,16,80.0,18944.0,103,103,322,9996,12338,18264,18264
145,319,288,42.0,1796.0,42,48,69,81,659,1768,1796
146,1739,833,315.0,545969.0,315,671,815,976,1063,3179,545969
147,852,832,4.0,52609.0,4,12,15,15,19,48805,52609
